time,ip,state,name
2022-05-26 16:09:59,221.151.78.120:81,on,공기청정기1
2022-05-26 16:10:03,221.151.78.120:81,off,공기청정기1
2022-05-26 16:10:05,221.151.78.120:82,on,환풍기1
2022-05-26 16:10:07,221.151.78.120:82,off,환풍기1
2022-05-27 22:23:16,221.151.78.120:82,on,환풍기1
2022-05-28 03:04:55,221.151.78.120:82,off,환풍기1
2022-05-28 03:06:52,221.151.78.120:80,on,공기순환기
2022-05-28 03:06:59,221.151.78.120:80,off,공기순환기
2022-05-28 03:07:33,221.151.78.120:80,off,공기순환기
2022-05-28 03:16:32,221.151.78.120:80,on,공기순환기
2022-05-28 03:31:43,221.151.78.120:80,on,공기순환기
2022-05-28 03:31:43,221.151.78.120:80,off,공기순환기
2022-05-28 03:31:47,221.151.78.120:80,on,공기순환기
2022-05-28 03:31:59,221.151.78.120:80,on,공기순환기
2022-05-28 03:32:03,221.151.78.120:80,off,공기순환기
2022-05-28 03:49:05,221.151.78.120:82,on,환풍기1
2022-05-28 04:23:27,221.151.78.120:82,off,환풍기1
2022-05-28 04:47:01,221.151.78.120:82,on,환풍기1
2022-05-28 04:49:29,221.151.78.120:82,off,환풍기1
2022-05-28 05:13:46,221.151.78.120:82,on,환풍기1
2022-05-28 05:13:57,221.151.78.120:82,off,환풍기1
2022-05-28 05:14:19,221.151.78.120:82,on,환풍기1
2022-05-28 05:17:39,221.151.78.120:82,off,환풍기1
2022-05-28 05:24:52,221.151.78.120:82,on,환풍기1
2022-05-28 05:25:24,221.151.78.120:82,off,환풍기1
2022-05-28 05:25:56,221.151.78.120:82,on,환풍기1
2022-05-28 05:26:18,221.151.78.120:82,off,환풍기1
2022-05-28 05:35:59,221.151.78.120:82,on,환풍기1
2022-05-28 05:40:24,221.151.78.120:82,off,환풍기1
2022-05-28 05:49:23,221.151.78.120:82,on,환풍기1
2022-05-28 06:19:03,221.151.78.120:82,off,환풍기1
2022-05-28 06:19:14,221.151.78.120:82,on,환풍기1
2022-05-28 06:34:33,221.151.78.120:82,off,환풍기1
2022-05-28 17:09:12,221.151.78.120:82,on,환풍기1
2022-05-28 17:09:13,221.151.78.120:82,off,환풍기1
2022-05-28 20:33:15,221.151.78.120:82,on,환풍기1
2022-05-28 20:33:16,221.151.78.120:82,off,환풍기1
2022-05-29 18:34:41,221.151.78.120:82,on,환풍기1
2022-05-29 18:44:58,221.151.78.120:82,off,환풍기1
2022-05-29 21:43:50,221.151.78.120:81,on,공기청정기1
2022-05-29 21:45:03,221.151.78.120:81,off,공기청정기1
2022-05-29 21:46:06,221.151.78.120:81,on,공기청정기1
2022-05-29 21:47:49,221.151.78.120:81,off,공기청정기1
